地区代码	地区名称	所属城市	所属省份
1000	北京市	1000	1000
1027	密云县	1000	1000
1028	延庆县	1000	1000
1100	天津市	1100	1100
1121	宁河县	1100	1100
1123	静海县	1100	1100
1125	蓟　县	1100	1100
1200	河北省	1200	1200
1210	石家庄市	1210	1200
1211	井陉县	1210	1200
1212	鹿泉市	1210	1200
1213	正定县	1210	1200
1214	栾城县	1210	1200
1221	辛集市	1210	1200
1222	晋州市	1210	1200
1223	深泽县	1210	1200
1224	无极县	1210	1200
1225	藁城市	1210	1200
1226	赵　县	1210	1200
1227	新乐市	1210	1200
1228	高邑县	1210	1200
1229	元氏县	1210	1200
1231	赞皇县	1210	1200
1232	平山县	1210	1200
1233	灵寿县	1210	1200
1234	行唐县	1210	1200
1240	唐山市	1240	1200
1243	滦　县	1240	1200
1244	滦南县	1240	1200
1245	乐亭县	1240	1200
1246	迁安市	1240	1200
1247	迁西县	1240	1200
1248	遵化市	1240	1200
1249	玉田县	1240	1200
1251	唐海县	1240	1200
1260	秦皇岛市	1260	1200
1261	青龙满族自治县	1260	1200
1262	昌黎县	1260	1200
1263	抚宁县	1260	1200
1264	卢龙县	1260	1200
1270	邯郸市	1270	1200
1271	邯郸县	1270	1200
1281	大名县	1270	1200
1282	魏　县	1270	1200
1283	曲周县	1270	1200
1284	邱　县	1270	1200
1285	鸡泽县	1270	1200
1286	肥乡县	1270	1200
1287	广平县	1270	1200
1288	成安县	1270	1200
1289	临漳县	1270	1200
1291	磁　县	1270	1200
1292	涉　县	1270	1200
1293	永年县	1270	1200
1294	馆陶县	1270	1200
1295	武安市	1270	1200
1310	邢台市	1310	1200
1311	邢台县	1310	1200
1321	南宫市	1310	1200
1322	沙河市	1310	1200
1323	临城县	1310	1200
1324	内丘县	1310	1200
1325	柏乡县	1310	1200
1326	隆尧县	1310	1200
1327	任　县	1310	1200
1328	南和县	1310	1200
1329	宁晋县	1310	1200
1331	巨鹿县	1310	1200
1332	新河县	1310	1200
1333	广宗县	1310	1200
1334	平乡县	1310	1200
1335	威　县	1310	1200
1336	清河县	1310	1200
1337	临西县	1310	1200
1340	保定市	1340	1200
1341	满城县	1340	1200
1342	清苑县	1340	1200
1351	定州市	1340	1200
1352	涿州市	1340	1200
1353	易　县	1340	1200
1354	徐水县	1340	1200
1355	涞源县	1340	1200
1356	定兴县	1340	1200
1357	顺平县	1340	1200
1358	唐　县	1340	1200
1359	望都县	1340	1200
1361	涞水县	1340	1200
1362	高阳县	1340	1200
1363	安新县	1340	1200
1364	雄　县	1340	1200
1365	容城县	1340	1200
1366	高碑店市	1340	1200
1367	曲阳县	1340	1200
1368	阜平县	1340	1200
1369	安国市	1340	1200
1371	博野县	1340	1200
1372	蠡　县	1340	1200
1380	张家口市	1380	1200
1381	宣化县	1380	1200
1391	张北县	1380	1200
1392	康保县	1380	1200
1393	沽源县	1380	1200
1394	尚义县	1380	1200
1395	蔚　县	1380	1200
1396	阳原县	1380	1200
1397	怀安县	1380	1200
1398	万全县	1380	1200
1399	怀来县	1380	1200
1401	涿鹿县	1380	1200
1402	赤城县	1380	1200
1403	崇礼县	1380	1200
1410	承德市	1410	1200
1411	承德县	1410	1200
1421	宽城满族自治县	1410	1200
1422	兴隆县	1410	1200
1423	平泉县	1410	1200
1424	滦平县	1410	1200
1425	丰宁满族自治县	1410	1200
1426	隆化县	1410	1200
1427	围场满族蒙古族自治县	1410	1200
1430	沧州市	1430	1200
1431	沧　县	1430	1200
1432	青　县	1430	1200
1441	泊头市	1430	1200
1442	任丘市	1430	1200
1443	河间市	1430	1200
1444	肃宁县	1430	1200
1445	献　县	1430	1200
1446	吴桥县	1430	1200
1447	东光县	1430	1200
1448	南皮县	1430	1200
1449	盐山县	1430	1200
1451	黄骅市	1430	1200
1452	孟村回族自治县	1430	1200
1453	海兴县	1430	1200
1460	廊坊市	1460	1200
1461	三河市	1460	1200
1462	固安县	1460	1200
1463	永清县	1460	1200
1464	香河县	1460	1200
1465	大城县	1460	1200
1466	文安县	1460	1200
1467	霸州市	1460	1200
1468	大厂回族自治县	1460	1200
1480	衡水市	1480	1200
1482	冀州市	1480	1200
1483	枣强县	1480	1200
1484	武邑县	1480	1200
1485	深州市	1480	1200
1486	武强县	1480	1200
1487	饶阳县	1480	1200
1488	安平县	1480	1200
1489	故城县	1480	1200
1491	景　县	1480	1200
1492	阜城县	1480	1200
1600	山西省	1600	1600
1610	太原市	1610	1600
1611	清徐县	1610	1600
1612	阳曲县	1610	1600
1613	娄烦县	1610	1600
1614	古交市	1610	1600
1620	大同市	1620	1600
1631	阳高县	1620	1600
1632	天镇县	1620	1600
1633	广灵县	1620	1600
1634	灵丘县	1620	1600
1635	浑源县	1620	1600
1637	左云县	1620	1600
1639	大同县	1620	1600
1650	阳泉市	1650	1600
1651	平定县	1650	1600
1652	盂　县	1650	1600
1660	长治市	NA	1600
1661	长治县	1660	1600
1662	潞城市	1660	1600
1663	襄垣县	1660	1600
1664	屯留县	1660	1600
1665	平顺县	1660	1600
1666	黎城县	1660	1600
1667	壶关县	1660	1600
1668	长子县	1660	1600
1669	武乡县	1660	1600
1671	沁　县	1660	1600
1672	沁源县	1660	1600
1680	晋城市	NA	1600
1681	沁水县	1680	1600
1682	阳城县	1680	1600
1683	高平市	1680	1600
1684	陵川县	1680	1600
1685	泽州县	1680	1600
1690	朔州市	NA	1600
1691	山阴县	1690	1600
1692	应　县	1690	1600
1693	右玉县	1690	1600
1694	怀仁县	1690	1600
1710	忻州市	NA	1600
1712	定襄县	1710	1600
1713	五台县	1710	1600
1714	原平市	1710	1600
1715	代　县	1710	1600
1716	繁峙县	1710	1600
1717	宁武县	1710	1600
1718	静乐县	1710	1600
1719	神池县	1710	1600
1721	五寨县	1710	1600
1722	岢岚县	1710	1600
1723	河曲县	1710	1600
1724	保德县	1710	1600
1725	偏关县	1710	1600
1730	吕梁市	NA	1600
1731	汾阳市	1730	1600
1732	文水县	1730	1600
1733	交城县	1730	1600
1734	孝义市	1730	1600
1735	兴　县	1730	1600
1736	临　县	1730	1600
1737	柳林县	1730	1600
1738	石楼县	1730	1600
1739	岚　县	1730	1600
1741	方山县	1730	1600
1743	中阳县	1730	1600
1744	交口县	1730	1600
1750	晋中市	NA	1600
1752	榆社县	1750	1600
1753	左权县	1750	1600
1754	和顺县	1750	1600
1755	昔阳县	1750	1600
1756	寿阳县	1750	1600
1757	太谷县	1750	1600
